,room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude,boroughs
9991,4435968,5421078,Entire home/apt,Watergraafsmeer,12,5.0,3,1.0,132.0,Ground Floor Appt Frankendael max 2,52.346628,4.93951,Oost
9992,16349557,903675,Entire home/apt,Oud Oost,3,4.5,4,2.0,144.0,Big bright comfy place w/ garden in practical spot,52.352828,4.915783,Oost
9993,17933297,4339039,Entire home/apt,De Pijp / Rivierenbuurt,4,5.0,2,1.0,143.0,Bright and Central Apartment in the Pijp!,52.352893,4.903711,Zuid
9994,14623748,90777963,Entire home/apt,Oud Oost,5,5.0,4,1.0,143.0,Garden house in a lovely quiet area near center,52.358756,4.922152,Oost
9995,7545940,39541179,Entire home/apt,Oud Oost,6,5.0,2,1.0,132.0,spacious apartment in Amsterdam,52.360518,4.92923,Oost
9996,12679421,54827301,Entire home/apt,Oud Oost,12,4.5,2,1.0,144.0,Spacious 1 br apartment in trendy neighbourhood,52.363187,4.926846,Oost
9997,640062,3195444,Entire home/apt,Watergraafsmeer,27,4.5,2,1.0,144.0,Apartment with garden + 2 bikes,52.349944,4.92824,Oost
9998,1783461,2117711,Entire home/apt,Oud Oost,7,5.0,4,2.0,132.0,Bright and happy family home,52.359273,4.917782,Oost
9999,18048089,22362882,Entire home/apt,De Pijp / Rivierenbuurt,3,5.0,2,1.0,144.0,"Bright, lovely home for two near the city center",52.352608,4.90752,Zuid
10000,13651473,75206611,Entire home/apt,Oud Oost,9,4.0,4,2.0,143.0,Cosy bright apartment in lively neighbourhood,52.359722,4.914711,Oost
10001,13147818,10208386,Entire home/apt,Oud Oost,2,0.0,2,1.0,132.0,Sunny apartment in buzzing East!,52.355014,4.919224,Oost
10002,19729146,121810861,Entire home/apt,Oud Oost,0,0.0,3,2.0,133.0,Amsterdam apartment,52.352094,4.913379,Oost
10003,4872049,13895855,Entire home/apt,Oud Oost,20,5.0,2,1.0,126.0,"Cosy, spacious, sunny, free bikes & great location",52.355699,4.909101,Oost
10004,963528,5250489,Entire home/apt,Oud Oost,25,5.0,3,1.0,132.0,Beautiful Spacious Apartment A'dam ,52.35976,4.91164,Oost
10005,19774197,28083533,Entire home/apt,Watergraafsmeer,0,0.0,4,3.0,144.0,Great offer: Family home 1st or 2nd week in August,52.353779,4.925705,Oost
